email, domain, cos, CustomerCOS, zimbraFeatureMAPIConnectorEnabled, zimbraFeatureMobileSyncEnabled, zimbraArchiveEnabled, zimbraFeatureConversationsEnabled, zimbraFeatureTaggingEnabled, zimbraFeatureAdvancedSearchEnabled, zimbraAttachmentsIndexingEnabled, zimbraFeatureViewInHtmlEnabled, zimbraFeatureGroupCalendarEnabled, zimbraFreebusyExchangeURL, zimbraFeatureSharingEnabled, zimbraFeatureTasksEnabled, zimbraFeatureBriefcasesEnabled, zimbraFeatureSMIMEEnabled, zimbraFeatureVoiceEnabled, zimbraFeatureManageZimlets, zimbraFeatureCalendarEnabled, zimbraFeatureEwsEnabled
lunch@zimbra.example.ch,zimbra.example.ch,PE,default,true,true,false,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true
support@example.ch,example.ch,PE,default,true,true,false,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true
admin@zm-a15.example.ch,zm-a15.example.ch,PE,default,true,true,false,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true
vianne@example.ch,example.ch,PE,default,true,true,false,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true
admin@zimbra.example.ch,zimbra.example.ch,PE,default,true,true,false,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true
elinor@domain.com,domain.com,PE,default,true,true,false,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true
backup@example.ch,example.ch,BE,business,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
noelle@example.ch,example.ch,PE,default,true,true,false,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true
emelie@domain.com,domain.com,PE,default,true,true,false,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true
anti-spam@example.ch,example.ch,BE,business,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
clara@domain.com,domain.com,BE,business,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
epartners@example.ch,example.ch,BE,business,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
christoph@example.ch,example.ch,PE,default,true,true,false,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true
samuel@example.ch,example.ch,PE,default,true,true,false,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true
printer-a15@example.ch,example.ch,BE,business,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
vermietung@home.io,home.io,PE,default,true,true,false,true,true,false,true,true,false,false,true,false,false,false,false,true,false,true
kurt@example.ch,example.ch,PE,default,true,true,false,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true
maja@domain.com,domain.com,PE,default,true,true,false,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true
rttest@example.ch,example.ch,PE,default,true,true,false,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true
bossert@example.ch,example.ch,PE,default,true,true,false,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true
motest02@example.ch,example.ch,PE,default,true,true,false,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true
fritz@example.ch,example.ch,PE,default,true,true,false,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true
alina@domain.com,domain.com,PE,default,true,true,false,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true
manuel@example.ch,example.ch,PE,default,true,true,false,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true
regula@example.ch,example.ch,PE,default,true,true,false,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true
tobi@example.ch,example.ch,PE,default,true,true,false,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true
dispatcher@example.ch,example.ch,PE,default,true,true,false,true,true,false,true,true,false,false,true,true,true,false,false,true,true,true
mailgw@example.ch,example.ch,BE,business,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
doris@example.ch,example.ch,PE,default,true,true,false,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true
angela@example.ch,example.ch,PE,default,true,true,false,true,true,false,true,true,true,false,true,true,false,false,false,true,true,true
backoffice@example.ch,example.ch,SE,business,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true
heidi@example.ch,example.ch,PE,default,true,true,false,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true
